en_term_no_stopwords;en_definition_no_stopwords;ru_term_no_stopwords;ru_definition_no_stopwords
linde refrigerator;device uses joulethomson effect liquefy gases isenthalpic expansion commonly employed cryogenics air separation gas liquefaction;холодильник линде;устройство использующее эффект джоулятомсона сжижения газов путём изэнтальпийного расширения применяемое криогенике разделения воздуха сжижения газов
lindemann f;frederick lindemann physicist known contributions thermodynamics spectroscopy notably lindemann mechanism explaining unimolecular reactions;линдеман;фредерик линдеман физик известный вкладом термодинамику спектроскопию механизмом линдемана объясняющим мономолекулярные реакции
lindemann mechanism;theory explaining unimolecular reactions molecule gains energy collisions decomposing isomerizing;механизм линдемана;теория объясняющая мономолекулярные реакции молекула получает энергию столкновения разложением изомеризацией
lindemannhinshelwood;mechanism chemical kinetics describing unimolecular reactions intermediate energized molecules formed collisions;механизм линдеманнахиншелвуда;механизм химической кинетике описывающий мономолекулярные реакции промежуточные возбуждённые молекулы образованные столкновениями
line broadening;increase width spectral lines mechanisms doppler effect pressure natural lifetime;уширение линий;увеличение ширины спектральных линий вызванное различными механизмами эффект доплера давление естественное время жизни
line spacing;vertical distance lines text document measured baseline baseline affects readability layout adjusted single double custom spacing depending requirements;межстрочный интервал;вертикальное расстояние строками текста документе измеряемое базовой линии базовой линии влияющее удобочитаемость макет одинарным двойным заданным вручную
linear combination;mathematical expression constructed multiplying element set constant adding results vector spaces linear algebra describe span vectors;линейная комбинация;математическое выражение полученное умножением каждого элемента множества константу сложением результатов используемое векторных пространствах линейной алгебре описания линейной оболочки векторов
linear combination atomic orbitals;quantum chemistry method molecular orbitals formed combining atomic orbitals describe electron behavior molecules;линейная комбинация атомных орбиталей;метод квантовой химии молекулярные орбитали образуются путём комбинации атомных орбиталей используемый описания поведения электронов молекулах
linear freeenergy relation;relationship reaction rates equilibria substituent effects expressed linear equation eg hammett brønsted equations;линейное соотношение свободной энергии;зависимость скоростями реакций равновесиями эффектами заместителей выражаемая линейным уравнением уравнениями гаммета брёнстеда
linear hydrocarbons;hydrocarbons straightchain molecular structures consisting solely carbon hydrogen atoms bonded continuous unbranched sequence;линейные углеводороды;углеводороды прямолинейной молекулярной структурой состоящие исключительно атомов углерода водорода соединённых непрерывную неразветвлённую цепь
linear independence;set vectors vector space linearly independent vector set expressed linear combination meaning solution equation c₁v₁ c₂v₂ cₙvₙ 0 c₁ c₂ cₙ 0;линейная независимость;набор векторов векторном пространстве линейно независим ни вектор выражен линейная комбинация остальных единственное решение уравнения c₁v₁ c₂v₂ cₙvₙ 0 c₁ c₂ cₙ 0
linear interpolation;method estimating values known data points assuming linear relationship mathematics engineering approximating intermediate values;линейная интерполяция;метод оценки значений двумя известными точками предполагающий линейную зависимость используемый математике инженерии приближения промежуточных значений
linear momentum;vector quantity equal product objects mass velocity describing motion;линейный импульс;векторная величина равная произведению массы тела скорость описывающая движение
linear momentum gradient;spatial rate change linear momentum fluid dynamics quantum mechanics describe momentum variations;градиент линейного импульса;пространственная скорость изменения линейного импульса используемая гидродинамике квантовой механике описания вариаций импульса
linear momentum operator;quantum mechanical operator representing linear momentum particle given iħ∇ position space;оператор линейного импульса;квантовомеханический оператор представляющий линейный импульс частицы задаваемый iħ∇ координатном пространстве
linear operator;mathematical operator satisfies properties additivity homogeneity meaning preserves vector addition scalar multiplication fundamental linear algebra functional analysis;линейный оператор;математический оператор удовлетворяющий свойствам аддитивности однородности сохраняющий сложение векторов умножение скаляр основополагающий линейной алгебре функциональном анализе
linear plot firstorder;graphical representation natural logarithm reactant concentration versus time firstorder reaction yielding straight line slope equal negative rate constant;линейный график реакции первого порядка;графическое представление натурального логарифма концентрации реагента времени реакции первого порядка дающее прямую линию наклоном равным отрицательной величине константы скорости
linear plots;graphs relationship variables represented straight lines simplify data analysis model linear relationships scientific experiments;линейные графики;графики связь переменными представлена прямыми линиями используемые упрощения анализа моделирования линейных зависимостей научных экспериментах
linear rotor;molecule system rotates single axis exhibiting linear symmetry quantized rotational energy levels commonly studied rotational spectroscopy;линейный ротор;молекула система вращающаяся оси обладающая линейной симметрией квантованными уровнями вращательной энергии изучаемая вращательной спектроскопии
linear superposition;principle stating linear systems net response caused stimuli sum responses caused stimulus individually principle fundamental physics engineering mathematics particularly wave theory quantum mechanics;линейная суперпозиция;принцип согласно линейных системах общий отклик воздействий равен сумме откликов воздействие отдельности основополагающий принцип физике инженерии математике теории волн квантовой механике
linear system;system output directly proportional input obeying superposition principle described linear differential equations;линейная система;система выход прямо пропорционален входу подчиняется принципу суперпозиции описывается линейными дифференциальными уравнениями
linearization;process approximating nonlinear system function linear mathematics engineering simplify analysis solution complex problems;линеаризация;процесс аппроксимации нелинейной системы функции линейной используемый математике инженерии упрощения анализа решения сложных задач
linearsweep voltammetry;electrochemical technique potential varied linearly time measuring current response study redox processes;линейноразвёрнутая вольтамперометрия;электрохимический метод потенциал изменяется линейно времени измерении тока применяемый изучения редокспроцессов
lineshape;functional form spectral line describing intensity distribution function frequency wavelength influenced broadening mechanisms like doppler pressure effects;форма линии;функциональная форма спектральной линии описывающая распределение интенсивности зависимости частоты длины волны влияют механизмы уширения доплеровский давление
lineweaverburk equation;linearized form michaelismenten equation enzyme kinetics expressed 1v kmvmax1s 1vmax v reaction rate s substrate concentration km michaelis constant vmax maximum reaction rate;уравнение лайнуивераберка;линеаризованная форма уравнения михаэлисаментен используемая кинетике ферментов 1v kmvmax1s 1vmax v скорость реакции s концентрация субстрата km константа михаэлиса vmax максимальная скорость
lineweaverburk plot;double reciprocal plot enzymatic reaction kinetics plotting 1v vs 1s determine vmax km michaelismenten equation;график лайнуиверабёрка;двойная обратная зависимость кинетики ферментативной реакции отображается 1v 1s используемая определения vmax km уравнения михаэлисаментен
linus pauling;american chemist biochemist peace activist significant contributions understanding chemical bonding molecular structure awarded nobel prize chemistry 1954 nobel peace prize 1962;лайнус поллинг;американский химик биохимик пацифист внесший значительный вклад понимание химической связи молекулярной структуры лауреат нобелевской премии химии 1954 нобелевской премии мира 1962
lipid bilayer;thin polar membrane layers lipid molecules forming basic structure cell membranes providing barrier structural functions;липидный бислой;тонкая полярная мембрана состоящая двух слоёв липидных молекул формирующая основную структуру клеточных мембран выполняющая барьерные структурные функции
liposome;spherical vesicle composed phospholipid bilayers deliver drugs genetic material cells;липосома;сферический везикул состоящий нескольких фосфолипидных бислоев используемый доставки лекарств генетического материала клетки
liposome encapsulation;process liposomes spherical vesicles lipid bilayer encapsulate drugs active substances improve delivery stability bioavailability;липосомальная инкапсуляция;процесс липосомы сферические везикулы липидным бислоем используются инкапсуляции лекарств активных веществ целью улучшения доставки стабильности биодоступности
liquefaction;process converting gas solid liquid state typically cooling applying pressure physical chemistry refers phase transition gases liquids specific conditions temperature pressure;сжижение;процесс превращения газа твёрдого вещества жидкое состояние путём охлаждения приложения давления физической химии относится фазовому переходу газов жидкости определённых условиях температуры давления
liquid junction potential;potential difference arises interface dissimilar electrolyte solutions differences ion mobility;диффузионный потенциал;разность потенциалов возникающая границе раздела двух различных электролитов изза различий подвижности ионов
liquid mixture;homogeneous heterogeneous combination liquids separated physical means;жидкая смесь;однородная неоднородная комбинация двух жидкостей разделены физическими методами
liquid phase;state matter characterized particles close freely allowing substance flow shape container maintaining nearly constant volume fixed conditions;жидкая фаза;состояние вещества частицы расположены свободно перемещаться позволяя веществу течь принимать форму сосуда сохраняя постоянный объём
liquid structure;arrangement dynamics molecules liquid characterized shortrange order lack longrange periodicity;структура жидкости;расположение динамика молекул жидкости характеризующаяся ближним порядком отсутствием дальнего порядка
liquid viscosity;measure liquids resistance flow determined internal friction molecules;вязкость жидкости;мера сопротивления жидкости течению обусловленная внутренним трением молекулами
liquidliquid mixture;homogeneous heterogeneous combination immiscible partially miscible liquids forming distinct phases differences polarity density solubility mixtures studied physical chemistry thermodynamic transport properties;жидкостножидкостная смесь;гомогенная гетерогенная комбинация двух несмешивающихся частично смешивающихся жидкостей образующих отдельные фазы изза различий полярности плотности растворимости
liquidvapour phase boundary;curve phase diagram representing equilibrium conditions liquid vapour phase;граница раздела жидкостьпар;кривая фазовой диаграмме представляющая условия равновесия жидкостью паровой фазой
liter;metric unit volume equal 1 cubic decimeter dm³ 1000 cubic centimeters cm³ 0001 cubic meters m³ commonly measure liquids substances everyday scientific contexts;литр;метрическая единица объёма равная 1 кубическому дециметру дм³ 1000 кубическим сантиметрам см³ 0001 кубического метра м³ широко используется измерения жидкостей веществ
lithium atom;smallest unit lithium chemical element atomic number 3 consisting nucleus 3 protons typically 34 neutrons surrounded 3 electrons;атом лития;наименьшая единица лития химического элемента атомным номером 3 состоящая ядра 3 протонами 34 нейтронами окружённого 3 электронами
lithiumion battery;rechargeable battery lithium ions negative electrode positive electrode discharge charging known high energy density low selfdischarge memory effect;литийионный аккумулятор;перезаряжаемый аккумулятор ионы лития перемещаются отрицательного электрода положительному разрядке обратно зарядке отличающийся высокой энергоёмкостью малым саморазрядом отсутствием эффекта памяти
lmct;ligandtometal charge transfer electronic transition electron density moves ligand metal center observed uvvis spectroscopy;перенос заряда лигандметалл;электронный переход электронная плотность перемещается лиганда металлическому центру наблюдаемый уфвидимой спектроскопии
lnk vs 1 t;graphical representation chemical kinetics determine activation energy reaction plotting natural logarithm rate constant lnk reciprocal absolute temperature 1 t described arrhenius equation;lnk 1 t;графическое представление химической кинетике определения энергии активации реакции натуральный логарифм константы скорости lnk откладывается против обратной абсолютной температуры 1 t согласно уравнению аррениуса
lnk vs 1 t plot;graphical representation chemical kinetics determine activation energy reaction plotting natural logarithm rate constant lnk inverse temperature 1 t yielding straight line slope proportional activation energy according arrhenius equation;график lnk 1 t;графическое представление химической кинетике определения энергии активации реакции натуральный логарифм константы скорости lnk откладывается против обратной температуры 1 t давая прямую линию наклоном пропорциональным энергии активации согласно уравнению аррениуса
local contribution;portion property effect attributed specific region component system quantum chemistry materials science;локальный вклад;часть свойства эффекта приписываемая определённой области компоненту системе используемая квантовой химии материаловедении
local magnetic field;magnetic field experienced nucleus electron molecule influenced nearby atoms external fields;локальное магнитное поле;магнитное поле испытываемое ядром электроном молекуле влияют соседние атомы внешние поля
lock key model;model enzymesubstrate interaction suggesting enzymes active site precisely complementary substrates shape like key fitting lock ensuring specificity biochemical reactions;модель ключзамок;модель взаимодействия фермента субстрата предполагающая активный центр фермента идеально соответствует форме субстрата ключ замку обеспечивая специфичность биохимических реакций
lockandkey;model describing enzymesubstrate interaction enzymes active site perfectly fits substrate like key lock ensuring specificity;модель ключзамок;модель описывающая взаимодействие фермента субстрата активный центр фермента идеально подходит субстрату ключ замку обеспечивая специфичность
london;london capital city united kingdom global hub finance culture politics located southeastern england;лондон;лондон столица соединённого королевства глобальный центр финансов культуры политики расположенный юговостоке англии
london formula;approximate equation quantum chemistry describing dispersion interaction neutral molecules induced dipole moments;формула лондона;приближённое уравнение квантовой химии описывающее дисперсионное взаимодействие двумя нейтральными молекулами изза индуцированных дипольных моментов
long period;time interval characterized extended duration contexts like oscillation periods geological timescales economic cycles;длительный период;временной интервал характеризующийся продолжительностью используемый контекстах периоды колебаний геологические временные масштабы экономические циклы
longitudinal relaxation;process magnetization vector returns equilibrium value longitudinal z axis characterized time constant t1;продольная релаксация;процесс возвращения вектора намагниченности равновесному значению вдоль продольной z оси характеризуемый временем t1
longitudinal relaxation time;characteristic time nuclear spins return equilibrium magnetization magnetic field direction perturbation denoted t1;время продольной релаксации;характерное время возвращения ядерных спинов равновесной намагниченности вдоль направления магнитного поля возмущения обозначаемое t1
longrange order;regular repeating arrangement atoms molecules material large distances characteristic crystalline solids;дальний порядок;регулярное повторяющееся расположение атомов молекул материале больших расстояниях характерное кристаллических твёрдых тел
lorentzian absorption line;spectral line shape described lorentz distribution characteristic homogeneous broadening atomic molecular absorption spectra;лоренцевская линия поглощения;форма спектральной линии описываемая распределением лоренца характерная однородного уширения атомных молекулярных спектрах поглощения
loss modulus;measure energy dissipated heat cycle deformation viscoelastic material dynamic loading representing viscous component materials response;модуль потерь;мера энергии рассеиваемой виде тепла цикл деформации вязкоупругом материале динамическом нагружении представляющая вязкую составляющую отклика материала
loss;decrease reduction particular quantity quality attribute scientific contexts describe energy dissipation material degradation;потеря;уменьшение снижение определённого количества качества атрибута используемое научных контекстах описания рассеивания энергии деградации материала
low temperatures;temperatures significantly standard ambient conditions near boiling point liquid nitrogen 77 k quantum effects unique material properties prominent;низкие температуры;температуры значительно стандартных условий близкие точки кипения жидкого азота 77 проявляются квантовые эффекты уникальные свойства материалов
lowboiling azeotrope;mixture liquids boils constant temperature lower components forming vapor composition liquid;низкокипящий азеотроп;смесь двух жидкостей кипящая постоянной температуре температуры кипения компонентов образуя пар состава жидкость
lower consolute temperature;minimum temperature partially miscible liquids fully miscible forming single phase;нижняя критическая температура смешиваемости;минимальная температура две частично смешивающиеся жидкости становятся полностью смешиваемыми образуя фазу
lower critical solution temperature;minimum temperature mixture liquids partially miscible higher temperatures completely miscible proportions;нижняя критическая температура растворимости;минимальная температура смесь двух жидкостей частично смешивающихся высоких температурах становится полностью смешиваемой пропорциях
lower entropy;state system characterized reduced disorder higher organization number possible microscopic configurations minimized associated increased energy efficiency stability thermodynamic processes;низкая энтропия;состояние системы уменьшенным беспорядком повышенной упорядоченностью число возможных микроскопических конфигураций минимально связанное повышенной энергоэффективностью стабильностью термодинамических процессах
lowering operator l;operator quantum mechanics decreases eigenvalue operator context angular momentum harmonic oscillators transition quantum states;понижающий оператор l;оператор квантовой механике уменьшающий собственное значение другого оператора используемый перехода квантовыми состояниями контексте углового момента гармонических осцилляторов
lumo;lowest unoccupied molecular orbital lowest energy molecular orbital occupied electrons crucial chemical reactions spectroscopy;нсмо;низшая свободная молекулярная орбиталь молекулярная орбиталь наименьшей энергией занятая электронами важная химических реакциях спектроскопии
lustre metal;characteristic shine reflective appearance metal surface ability reflect light efficiently;металлический блеск;характерный блеск отражающая способность поверхности металла обусловленная эффективным отражением света
ly;unit length equal distance light travels year vacuum approximately 946 trillion kilometers 588 trillion miles commonly astronomy measure vast distances celestial objects;световой год;единица длины равная расстоянию свет проходит год вакууме примерно 946 триллиона километров используется астрономии измерения больших расстояний небесными объектами
lyman series;series spectral lines ultraviolet region emitted hydrogen atoms electrons transition n1 energy level;серия лаймана;серия спектральных линий ультрафиолетовой области излучаемых атомами водорода переходе электронов уровень энергии n1
lyophilic;describes substance readily forms stable colloid solution dispersed liquid strong affinity dispersed phase dispersion medium;лиофильный;описывает вещество легко образует стабильный коллоид раствор диспергировании жидкости сильному сродству дисперсной фазой дисперсионной средой
lyophobic;describes substance repels fails dissolve particular solvent colloid chemistry describe particles surfaces;лиофобный;описывает вещество отталкивает растворяется определённом растворителе используется коллоидной химии описания частиц поверхностей
macromolecule;large molecule polymer protein composed smaller subunits monomers linked high molecular weight complex structure;макромолекула;большая молекула полимер белок состоящая множества мелких субъединиц мономеров соединённых вместе высокой молекулярной массой сложной структурой
macropores;large pores material typically diameters greater 50 nanometers facilitate transport fluids gases generally contribute significantly surface area adsorption capacity;макропоры;крупные поры материале диаметром 50 нанометров облегчают транспорт жидкостей газов вносят значительного вклада площадь поверхности адсорбционную способность
macrostate;macroscopic state thermodynamic system characterized measurable properties like temperature pressure volume result collective behavior microscopic constituents;макросостояние;макроскопическое состояние термодинамической системы характеризующееся измеримыми свойствами температура давление объём возникают коллективного поведения микроскопических составляющих
madelung;constant calculating electrostatic potential energy ion crystal lattice named german physicist erwin madelung;маделунга;константа используемая расчёта электростатической потенциальной энергии иона кристаллической решётке названная честь немецкого физика эрвина маделунга
madelung constant;dimensionless constant represents electrostatic potential energy single ion crystal lattice accounting arrangement ions lattice;постоянная маделунга;безразмерная константа представляющая электростатическую потенциальную энергию иона кристаллической решётке учётом расположения остальных ионов
magic angle spinning;technique solidstate nmr spectroscopy sample rotated magic angle 5474 ° relative magnetic field average anisotropic interactions improve resolution;вращение магическим углом;метод твердотельной ямрспектроскопии образец вращается магическим углом 5474 ° относительно магнитного поля усреднения анизотропных взаимодействий улучшения разрешения
magnetic;relating exhibiting magnetism property certain materials attract repel motion electric charges;магнитный;относящийся магнетизму проявляющий свойство материалов притягивать отталкивать изза движения электрических зарядов
magnetic field strength;vector quantity represents intensity magnetic field measured amperes meter describes magnetic influence electric currents magnetized materials;напряжённость магнитного поля;векторная величина характеризующая интенсивность магнитного поля измеряемая амперах метр ам описывает магнитное влияние электрических токов намагниченных материалов
magnetic induction;process changing magnetic field generates electric current conductor described faradays law induction;магнитная индукция;процесс изменяющееся магнитное поле создаёт электрический ток проводнике описываемый законом электромагнитной индукции фарадея
magnetic materials;substances exhibit magnetic properties ferromagnetism paramagnetism diamagnetism alignment atomic molecular magnetic moments materials widely electronics data storage industrial applications;магнитные материалы;вещества проявляющие магнитные свойства ферромагнетизм парамагнетизм диамагнетизм изза упорядочивания магнитных моментов атомов молекул применяются электронике хранении промышленности
magnetic moment;vector quantity representing magnetic strength orientation magnet object produces magnetic field;магнитный момент;векторная величина характеризующая магнитную силу ориентацию магнита другого объекта создающего магнитное поле
magnetic properties;characteristics materials describe response applied magnetic field including magnetization susceptibility hysteresis properties crucial applications like data storage medical imaging electrical engineering;магнитные свойства;характеристики материалов описывающие реакцию приложенное магнитное поле намагниченность восприимчивость гистерезис важны применения хранении медицинской визуализации электротехнике
magnetic quantum number;quantum number specifies orientation atomic orbital space values ranging l l l azimuthal quantum number;магнитное квантовое число;квантовое число определяющее ориентацию атомной орбитали пространстве принимающее значения l l l азимутальное квантовое число
magnetic quantum number m;quantum number specifies orientation atomic orbital space relative external magnetic field integer values ranging l l l azimuthal quantum number;магнитное квантовое число m;квантовое число определяющее ориентацию атомной орбитали пространстве относительно внешнего магнитного поля принимающее целые значения l l l азимутальное квантовое число
magnetic resonance imaging;medical imaging technique uses strong magnetic fields radio waves generate detailed images bodys internal structures particularly soft tissues;магнитнорезонансная томография;метод медицинской визуализации использующий сильные магнитные поля радиоволны получения детальных изображений внутренних структур тела мягких тканей
magnetic susceptibility;measure degree material magnetized applied magnetic field indicating response magnetic forces;магнитная восприимчивость;мера степени намагничивания материала приложенном магнитном поле показывающая реакцию магнитные силы
magnetically equivalent nuclei;nuclei molecule identical chemical shifts identical spinspin interactions nuclei making indistinguishable nmr spectroscopy;магнитноэквивалентные ядра;ядра молекуле имеющие одинаковые химические сдвиги одинаковые спинспиновые взаимодействия ядрами делает неразличимыми ямрспектроскопии
magnetically ordered lattices;crystalline structures magnetic moments atoms ions aligned regular pattern exhibiting longrange magnetic order ferromagnetism antiferromagnetism;магнитоупорядоченные решётки;кристаллические структуры магнитные моменты атомов ионов выстроены регулярном порядке демонстрируя дальний магнитный порядок ферромагнетизм антиферромагнетизм
magnetism;physical phenomenon produced motion electric charge resulting attractive repulsive forces objects;магнетизм;физическое явление возникающее вследствие движения электрического заряда приводящее силам притяжения отталкивания объектами
magnetization;measure density magnetic dipole moments material indicating magnetic state response external magnetic field;намагниченность;мера плотности магнитных дипольных моментов материале характеризующая магнитное состояние реакцию внешнее магнитное поле
magnetization vector;vector quantity representing magnetic moment unit volume material indicating materials overall magnetic polarization;вектор намагниченности;векторная величина представляющая магнитный момент единицу объёма материала характеризующая магнитную поляризацию
magnetogyric;ratio magnetic moment angular momentum particle system nuclear magnetic resonance nmr spectroscopy;магнитогирический;отношение магнитного момента моменту импульса частицы системы используемое спектроскопии ядерного магнитного резонанса ямр
magnetogyric ratio;ratio magnetic moment angular momentum particle determining precession frequency magnetic field;магнитомеханическое отношение;отношение магнитного момента моменту импульса частицы определяющее частоту прецессии магнитном поле
magneton;unit magnetic moment atomic nuclear physics typically referring bohr magneton nuclear magneton;магнетон;единица магнитного момента используемая атомной ядерной физике относящаяся магнетону бора ядерному магнетону
manometer;instrument measure pressure fluid gas typically consisting ushaped tube partially filled liquid;манометр;прибор измерения давления жидкости газа представляющий uобразную трубку частично заполненную жидкостью
manyelectron atom;atom containing electron requiring quantum mechanical treatment describe electronelectron interactions energy levels accurately;многоэлектронный атом;атом содержащий электрона требующий квантовомеханического подхода точного описания электронэлектронных взаимодействий энергетических уровней
manyworlds interpretation;quantum mechanics theory proposing possible outcomes quantum measurements physically occur separate branching universes eliminating wavefunction collapse observerinduced effects;многомировая интерпретация;теория квантовой механики предполагающая возможные исходы квантовых измерений физически реализуются отдельных ветвящихся вселенных исключая коллапс волновой функции влияние наблюдателя
marcus;theory describing electron transfer rates chemical reactions relating reorganization energy driving force reaction kinetics;маркус;теория описывающая скорости переноса электронов химических реакциях связывающая энергию реорганизации движущую силу кинетикой реакции
marcus crossrelation;theoretical relation electron transfer kinetics connects rates selfexchange crossreaction electron transfers derived marcus theory;кросссоотношение маркуса;теоретическое соотношение кинетике переноса электронов связывающее скорости самосогласованного кроссреакционного переноса электронов выведенное теории маркуса
marcus inverted region;electron transfer theory region reaction rate decreases driving force increases certain point contrary classical arrhenius behavior;инвертированная область маркуса;теории переноса электронов область скорость реакции уменьшается увеличении движущей силы определённого предела противоречит классическому поведению аррениусу
marcus theory;theory describing electron transfer rates chemical reactions emphasizing role solvent reorganization energy reaction free energy;теория маркуса;теория описывающая скорости переноса электронов химических реакциях подчеркивающая роль энергии реорганизации растворителя свободной энергии реакции
