object;relation;subject
процесс, при котором входящий фотон вызывает возбуждённый атом или молекулу испустить фотон той же энергии, фазы и направления, что;IS_A;основой работы лазера.
вынужденное излучение;DESCRIBES;процесс, при котором входящий фотон вызывает возбуждённый атом или молекулу испустить фотон той же энергии, фазы и направления, что является основой работы лазера.
приближение Стирлинга;DESCRIBES;приближение для факториалов, задаваемое как ln(n!) ≈ n ln(n) - n, полезное в статистической механике и комбинаторике для больших n.
стохастическая термодинамика;DESCRIBES;подход, расширяющий классическую термодинамику на малые системы вдали от равновесия, учитывающий флуктуации и вероятностные описания изменений энергии и энтропии на микроскопическом уровне.
стехиометрический;DESCRIBES;относящийся к количеству реагентов и продуктов в химической реакции, находящихся в точной пропорции согласно уравнению реакции.
стехиометрический коэффициент;DESCRIBES;числовое значение в химическом уравнении, представляющее относительное количество молекул или молей реагента или продукта, участвующих в реакции.
стехиометрическое число;DESCRIBES;целочисленный множитель, указывающий относительное количество молекул или молей вещества, участвующих в химической реакции согласно стехиометрии.
закон Стокса;DESCRIBES;формула, описывающая силу сопротивления, действующую на сферические объекты, движущиеся в вязкой жидкости при малых числах Рейнольдса: F = 6πηrv, где η — вязкость, r — радиус, v — скорость.
стоксовы линии;DESCRIBES;спектральные линии в комбинационном рассеянии света, имеющие меньшую частоту, чем падающий свет, что соответствует потере энергии на молекулярные колебания.
неупругое рассеяние света, при котором рассеянный фотон;HAS_PROPERTY;меньшую энергию, чем падающий, обычно из-за возбуждения молекулярных колебаний или вращений.
стоксово рассеяние;DESCRIBES;неупругое рассеяние света, при котором рассеянный фотон имеет меньшую энергию, чем падающий, обычно из-за возбуждения молекулярных колебаний или вращений.
Стокса–Эйнштейна;DESCRIBES;соотношение, описывающее коэффициент диффузии сферических частиц в жидкости, выведенное из закона Стокса и теории броуновского движения Эйнштейна.
уравнение Стокса-Эйнштейна;DESCRIBES;связывает коэффициент диффузии сферических частиц в жидкости с температурой, вязкостью и размером частиц: D = kT / (6πηr), где D — коэффициент диффузии, k — постоянная Больцмана, T — температура, η — вязкость, r — радиус частицы.
метод остановленной струи;DESCRIBES;метод быстрого смешивания, используемый для изучения быстрых химических реакций путём резкой остановки потока реагентов и наблюдения за кинетикой реакции.
н.у.;DESCRIBES;Нормальные условия (н.у.) — стандартные условия для экспериментальных измерений: температура 0°C (273,15 K) и давление 1 атм (101,325 кПа).
деформация;DESCRIBES;изменение формы или размеров материала под действием приложенного напряжения, выраженное как отношение изменения размера к исходному размеру.
изменение механических свойств материала, таких как прочность или пластичность, в зависимости от скорости его деформации.;IS_A;явление важно для понимания поведения материала при динамических нагрузках.
зависимость от скорости деформации;DESCRIBES;изменение механических свойств материала, таких как прочность или пластичность, в зависимости от скорости его деформации. Это явление важно для понимания поведения материала при динамических нагрузках.
напряжение;DESCRIBES;физическая величина, измеряющая внутренние силы на единицу площади в материалах, возникающие из-за внешних нагрузок или деформаций.
релаксация напряжения;DESCRIBES;постепенное уменьшение напряжения со временем при постоянной деформации в вязкоупругом материале, обусловленное молекулярными перестройками и механизмами рассеяния энергии.
сильно связанные ядра;DESCRIBES;ядра в молекуле, демонстрирующие значительное спин-спиновое взаимодействие, что приводит к сложным спектрам ЯМР из-за близких энергетических уровней и взаимного влияния.
структурная биология;DESCRIBES;раздел молекулярной биологии, изучающий трёхмерные структуры биологических макромолекул, таких как белки и нуклеиновые кислоты, для понимания их функций и взаимодействий на атомном уровне.
структура;DESCRIBES;расположение и взаимосвязь частей или элементов чего-либо сложного, часто определяющее его свойства и поведение.
определение структуры;DESCRIBES;процесс выяснения трёхмерного расположения атомов в молекуле или материале с использованием экспериментальных методов, таких как рентгеновская кристаллография, ЯМР-спектроскопия или электронная микроскопия, часто в сочетании с вычислительными методами.
структурный фактор;DESCRIBES;комплексная величина в кристаллографии, описывающая рассеяние излучения кристаллом, зависящая от положения атомов и их рассеивающей способности.
уточнение структуры;DESCRIBES;процесс повышения точности модели молекулярной или кристаллической структуры путём её подгонки к экспериментальным данным, обычно с использованием дифракционных методов.
сублимация;DESCRIBES;переход вещества из твёрдого состояния непосредственно в газообразное, минуя жидкую фазу, обычно при определённых температуре и давлении.
давление пара сублимации;DESCRIBES;давление, оказываемое паром твёрдого вещества в равновесии с его твёрдой фазой при заданной температуре, минуя жидкую фазу.
подоболочка;DESCRIBES;часть электронной оболочки, характеризующаяся одинаковым орбитальным квантовым числом (l), определяющим форму электронных орбиталей (s, p, d, f).
фазовые диаграммы вещества;DESCRIBES;графическое представление физических состояний вещества при различных условиях температуры и давления, показывающее границы фаз и критические точки фазовых переходов.
субстрат;DESCRIBES;вещество или поверхность, на которой действует или растёт фермент, катализатор или организм, часто подвергаясь химическому изменению.
концентрация субстрата;DESCRIBES;количество субстрата в растворе, обычно измеряемое в молях на литр (M), влияющее на скорость ферментативной реакции согласно кинетике Михаэлиса-Ментен.
спектр диоксида серы;DESCRIBES;характерный рисунок линий поглощения или излучения, создаваемый молекулами диоксида серы при взаимодействии с электромагнитным излучением, часто анализируемый в атмосферных и экологических исследованиях.
гексафторид серы;DESCRIBES;бесцветный, без запаха, нетоксичный и негорючий газ с высокой диэлектрической прочностью, используемый в качестве изолирующей среды в электрооборудовании.
методы суммирования;DESCRIBES;математические методы, используемые для вычисления суммы ряда чисел или членов, часто включающие итеративные или рекурсивные подходы для упрощения сложных сумм.
сверхпроводимость;DESCRIBES;квантовомеханическое явление, при котором некоторые материалы демонстрируют нулевое электрическое сопротивление и выталкивают магнитные поля при охлаждении ниже критической температуры.
сверхпроводник;DESCRIBES;материал, способный проводить электричество без сопротивления при охлаждении ниже определённой критической температуры, демонстрируя нулевое электрическое сопротивление и идеальный диамагнетизм.
переохлаждённый;DESCRIBES;жидкость, охлаждённая ниже точки замерзания без перехода в твёрдое состояние, остающаяся в метастабильном состоянии.
сверхкритическая жидкость;DESCRIBES;вещество при температуре и давлении выше критической точки, обладающее свойствами, промежуточными между газом и жидкостью, такими как высокая диффузионная способность и низкая вязкость.
сверхтекучая жидкость;DESCRIBES;состояние вещества с нулевой вязкостью, позволяющее ему течь без потерь энергии, обычно возникающее при крайне низких температурах.
суперпозиция;DESCRIBES;принцип, согласно которому в линейной системе общий отклик, вызванный двумя или более стимулами, равен сумме откликов, которые вызвал бы каждый стимул по отдельности.
состояние, при котором раствор содержит больше растворённого вещества, чем;IS_A;возможно в условиях равновесия при данной температуре и давлении.
пересыщение;DESCRIBES;состояние, при котором раствор содержит больше растворённого вещества, чем это возможно в условиях равновесия при данной температуре и давлении.
сверхзвуковая струя;DESCRIBES;высокоскоростной поток газа или жидкости, превышающий скорость звука, часто используемый в спектроскопии для охлаждения молекул с целью изучения их свойств.
носители;DESCRIBES;материалы, используемые для обеспечения структурной стабильности или улучшения работы катализаторов, адсорбентов и других активных компонентов в химических процессах, часто обладающие высокой площадью поверхности, пористостью и термической стабильностью.
нанесённые катализаторы;DESCRIBES;гетерогенные катализаторы, в которых активный материал нанесён на носитель с большой поверхностью (например, оксид алюминия, кремнезём или углерод) для повышения стабильности, активности и селективности в химических реакциях.
поверхность;DESCRIBES;внешний слой или граница материала или объекта, где он взаимодействует с окружающей средой или другой фазой.
площадь поверхности;DESCRIBES;общая площадь поверхности трёхмерного объекта, вычисляемая по формулам для разных форм. Важный параметр в физической химии для процессов адсорбции, катализа и теплопередачи.
поверхностно-катализируемый;DESCRIBES;химическая реакция, ускоряемая присутствием поверхности, обычно за счёт адсорбции реагентов и снижения энергии активации.
поверхностное разложение;DESCRIBES;распад соединения на более простые вещества на поверхности материала, часто вызванный теплом, светом или каталитической активностью.
поверхностный дефект;DESCRIBES;несовершенство или неровность на поверхности материала, такое как вакансии, дислокации или примеси, влияющее на его физические и химические свойства.
поверхностная диффузия;DESCRIBES;процесс перемещения атомов, молекул или частиц по поверхности материала, обычно зависящий от температуры и структуры поверхности.
поверхностная энергия;DESCRIBES;избыточная энергия на поверхности материала по сравнению с его объёмом, обусловленная несбалансированными межмолекулярными силами. Характеризует работу, необходимую для создания единицы площади новой поверхности, и влияет на смачивание, адгезию и другие поверхностные явления.
поверхностный избыток;DESCRIBES;количество компонента на единицу площади поверхности или границы раздела, превышающее его количество в объёмной фазе, обычно измеряется в моль/м².
поверхностное расширение;DESCRIBES;увеличение площади поверхности материала из-за тепловых или механических воздействий, часто характеризуемое коэффициентом поверхностного расширения.
поверхностная свободная энергия;DESCRIBES;работа, необходимая для увеличения площади поверхности материала, отражающая избыточную энергию на поверхности по сравнению с объёмом из-за несбалансированных межмолекулярных сил. Важный параметр в смачивании, адгезии и поверхностных явлениях.
поверхностная энергия Гиббса;DESCRIBES;избыточная энергия на единицу площади поверхности, обусловленная дисбалансом межмолекулярных сил на границе раздела двух фаз.
поверхностный рост;DESCRIBES;процесс накопления материала или формирования кристаллов на поверхности подложки, часто используемый в осаждении тонких плёнок и нанотехнологиях.
поверхностная подвижность;DESCRIBES;способность атомов, молекул или частиц перемещаться по поверхности, зависящая от температуры, структуры поверхности и взаимодействий.
поверхностный плазмонный резонанс;DESCRIBES;коллективное колебание свободных электронов на границе раздела металл-диэлектрик, возбуждаемое светом, используемое для чувствительного обнаружения молекулярных взаимодействий в реальном времени.
поверхностная пористость;DESCRIBES;доля пустот или пор на поверхности материала относительно его общего объёма, влияющая на свойства, такие как проницаемость, адсорбция и механическая прочность.
поверхностное натяжение;DESCRIBES;упругая тенденция поверхности жидкости к уменьшению площади, вызванная притяжением молекул на поверхности, что создаёт плёнкообразный слой. Измеряется в силе на единицу длины или энергии на единицу площади.
поверхностно-усиленная рамановская спектроскопия (ПУРС);DESCRIBES;высокочувствительный метод, усиливающий рамановское рассеяние молекул, адсорбированных на шероховатых металлических поверхностях или наноструктурах, что позволяет детектировать одиночные молекулы. Сочетает рамановскую спектроскопию с плазмонными эффектами.
поверхностно-активное вещество;DESCRIBES;вещество, снижающее поверхностное натяжение между двумя фазами, например, жидкостью и твёрдым телом, за счёт адсорбции на границе раздела, часто применяется в моющих средствах и эмульгаторах.
параметр поверхностно-активного вещества;DESCRIBES;безразмерная величина, характеризующая геометрию молекул ПАВ, определяемая как отношение объёма хвоста к произведению площади головной группы и длины хвоста.
окружение;DESCRIBES;внешняя среда или всё, что находится вне изучаемой системы и может обмениваться с ней энергией или веществом.
Сванте Аррениус;DESCRIBES;шведский учёный, сформулировавший теорию электролитической диссоциации, предложивший концепцию энергии активации и сделавший фундаментальный вклад в физическую химию, включая уравнение Аррениуса для описания скорости реакций.
симметричный;DESCRIBES;обладающий симметрией, когда объект или система остаются неизменными при определённых преобразованиях, таких как отражение, вращение или перенос, что часто приводит к сбалансированным и гармоничным свойствам в физических и химических системах.
симметричный волчок;DESCRIBES;жёсткое тело, вращающееся вокруг оси симметрии, у которого два главных момента инерции равны, что упрощает расчёты вращательной энергии.
симметричное растяжение;DESCRIBES;вид колебательного движения в молекулах, при котором связи растягиваются и сжимаются синхронно, сохраняя симметрию молекулы.
симметрия;DESCRIBES;свойство объекта или системы оставаться неизменным при определённых преобразованиях, таких как вращение, отражение или перенос, часто описываемое операциями и элементами симметрии в геометрии и физике.
симметрийный базис;DESCRIBES;набор функций или векторов, преобразующихся по неприводимым представлениям группы симметрии, используемый в квантовой химии и спектроскопии.
классификация симметрии;DESCRIBES;систематическая классификация объектов или систем на основе их свойств симметрии, часто с использованием теории групп в химии и физике.
элемент симметрии;DESCRIBES;геометрическая сущность (точка, линия или плоскость), относительно которой выполняется операция симметрии, такая как вращение, отражение или инверсия, оставляя систему неизменной.
число симметрии;DESCRIBES;фактор в статистической механике, представляющий количество неразличимых ориентаций молекулы, используемый для корректировки статистической суммы с учётом вращательной симметрии.
симметрия нормальной моды;DESCRIBES;свойство колебательной нормальной моды, описывающее её поведение при симметричных преобразованиях точечной группы молекулы, используемое для классификации молекулярных колебаний.
симметрия колебаний;DESCRIBES;свойство молекулярных колебаний, описывающее их поведение при симметричных преобразованиях, часто используется в спектроскопии для классификации нормальных мод.
симметричная операция;DESCRIBES;преобразование (например, вращение, отражение), которое отображает объект на себя, сохраняя его структуру и свойства симметрии.
вид симметрии;DESCRIBES;классификация молекулярных колебаний или орбиталей на основе их свойств преобразования под действием операций симметрии точечной группы.
симметрийно-адаптированный линейный;DESCRIBES;математический подход в квантовой химии, использующий свойства симметрии для упрощения решения линейных уравнений, часто применяемый в теории молекулярных орбиталей.
синхротронное излучение;DESCRIBES;электромагнитное излучение, испускаемое при радиальном ускорении заряженных частиц, обычно в синхротроне или накопительном кольце, создающее интенсивный поляризованный свет в широком спектре.
система;DESCRIBES;часть вселенной, выбранная для изучения, отделённая от окружающей среды реальной или воображаемой границей, которая может обмениваться энергией и/или веществом с окружающей средой.
систематические погасания;DESCRIBES;отсутствующие дифракционные пики в рентгеновской кристаллографии, вызванные определёнными элементами симметрии в структуре кристалла, что помогает в определении пространственной группы.
t-орбиталь;DESCRIBES;тип d-орбитали в теории кристаллического поля, а именно набор орбиталей (dxy, dxz, dyz), которые имеют меньшую энергию в октаэдрическом поле из-за меньшего отталкивания с лигандами.
T2;DESCRIBES;время спин-спиновой релаксации в ЯМР, характеризующее время затухания поперечной намагниченности до 1/e от начального значения из-за взаимодействий между спинами.
T2*;DESCRIBES;эффективное время поперечной релаксации в ЯМР или МРТ, объединяющее спин-спиновую релаксацию (T2) и эффекты неоднородности магнитного поля.
уравнение Тафеля;DESCRIBES;эмпирическое соотношение в электрохимии, описывающее зависимость плотности тока от перенапряжения для электрохимической реакции, задаваемое как η = a + b log(j), где η — перенапряжение, а j — плотность тока.
график Тафеля;DESCRIBES;график зависимости потенциала электрода от логарифма плотности тока, используемый для анализа кинетики электрохимических процессов и определения тафелевских наклонов.
тафелевский наклон;DESCRIBES;наклон тафелевской прямой, отражающий зависимость логарифма плотности тока от перенапряжения в кинетике электродных процессов.
режим прерывистого контакта;DESCRIBES;метод атомно-силовой микроскопии (АСМ), при котором кантилевер колеблется около резонансной частоты, периодически касаясь поверхности образца для уменьшения боковых сил и повреждений.
винная кислота;DESCRIBES;белая кристаллическая органическая кислота, естественно содержащаяся во многих растениях, особенно в винограде, и используемая в пищевой и фармацевтической промышленности как антиоксидант и ароматизатор.
ряд Тейлора;DESCRIBES;бесконечный ряд разложения функции в окрестности точки, выраженный как сумма её производных, вычисленных в этой точке, используемый для аппроксимации функций в математике и физике.
общее количество растворённых веществ;DESCRIBES;Суммарное содержание всех неорганических и органических веществ в жидкости в молекулярной, ионизированной или микрогранулярной взвешенной форме.
эффект Теллера;DESCRIBES;Явление, при котором небольшое возмущение в системе вызывает значительное изменение её поведения, часто наблюдаемое в химических реакциях и квантовых системах.
просвечивающая электронная микроскопия;DESCRIBES;метод, использующий пучок электронов для получения изображений тонких образцов с высоким разрешением, позволяющий изучать структуру на атомном уровне.
темпкин;DESCRIBES;модель в физической химии, описывающая адсорбцию газов на твёрдых поверхностях, предполагающая линейное уменьшение теплоты адсорбции с увеличением покрытия.
изотерма Темкина;DESCRIBES;модель изотермы адсорбции, описывающая гетерогенные поверхности с линейным уменьшением теплоты адсорбции при увеличении покрытия, часто используемая в катализе и химии поверхности.
температура;DESCRIBES;физическая величина, количественно выражающая степень нагретости тела, измеряемая термометром в шкалах Цельсия, Фаренгейта или Кельвина. Отражает среднюю кинетическую энергию частиц системы.
преобразование температуры;DESCRIBES;процесс перевода значения температуры из одной шкалы в другую, например, из Цельсия в Фаренгейт или Кельвин, с использованием математических формул для точных и согласованных измерений.
температурная зависимость;DESCRIBES;изменение физического или химического свойства вещества или системы при изменении температуры, часто описываемое математическими соотношениями, такими как уравнение Аррениуса для скоростей реакций или уравнение Вант-Гоффа для констант равновесия.
температурный эффект;DESCRIBES;влияние изменения температуры на физические или химические свойства вещества, такие как скорость реакции, константы равновесия или фазовые переходы, часто описываемое термодинамическими принципами, например, уравнением Аррениуса или принципом Ле Шателье.
температурный градиент;DESCRIBES;скорость изменения температуры относительно расстояния в определённом направлении, обычно выражается в градусах на единицу длины.
температурный скачок;DESCRIBES;быстрое изменение температуры, используемое для изучения кинетики быстрых химических реакций, часто вызываемое лазером или электрическим разрядом.
температурные шкалы;DESCRIBES;системы измерения температуры, определяющие фиксированные точки и единицы, такие как шкалы Цельсия, Фаренгейта и Кельвина.
температурная чувствительность реакций;DESCRIBES;степень изменения скорости химической реакции с температурой, часто описываемая уравнением Аррениуса, связывающим константы скорости реакции с температурой и энергией активации.
температура–состав;DESCRIBES;фазовая диаграмма, показывающая зависимость между температурой и составом в бинарной или многокомпонентной системе, используемая для предсказания фазового поведения.
температурно-составная диаграмма;DESCRIBES;графическое представление фазового поведения смеси в зависимости от температуры и состава, используемое для анализа фазовых переходов и равновесия в бинарных или многокомпонентных системах.
независимый от температуры;DESCRIBES;свойство или процесс, не изменяющийся при изменении температуры.
температурно-программируемый;DESCRIBES;методика, при которой температура образца систематически изменяется во времени для изучения его физических или химических свойств в контролируемых условиях.
термодесорбция с программированием температуры;DESCRIBES;метод в поверхностной науке, при котором адсорбированные молекулы десорбируются с поверхности путём постепенного повышения температуры, что позволяет изучать энергии адсорбции и поверхностные реакции.
термин;DESCRIBES;слово или словосочетание, используемое для обозначения понятия в определённой области знания или деятельности.
терм-символ;DESCRIBES;обозначение, используемое в атомной физике для описания квантового состояния атома или молекулы, указывающее его полный орбитальный момент импульса, спин и полный момент импульса.
терминация;DESCRIBES;заключительный этап цепной реакции, при котором удаляются реакционноспособные промежуточные соединения, останавливая дальнейшее распространение реакции.
тройная диаграмма состояния;DESCRIBES;графическое представление равновесных фаз в трёхкомпонентной системе, обычно изображаемое в виде треугольника, где каждая вершина соответствует чистому компоненту. Показывает состав и фазовое поведение смесей при изменении температуры, давления или концентрации.
тройная система;DESCRIBES;система в физической химии, состоящая из трёх компонентов, часто используемая для описания фазового поведения в смесях.
терраса;DESCRIBES;плоская или полого наклонная поверхность, образованная эрозией или осаждением, часто встречающаяся в виде ступенчатых последовательностей на склонах холмов или речных долин.
третичная структура;DESCRIBES;трёхмерная организация всех атомов в белке или нуклеиновой кислоте, возникающая в результате взаимодействий боковых цепей и окружающего растворителя.
тетрагональная система;DESCRIBES;кристаллическая система, характеризующаяся тремя взаимно перпендикулярными осями, две из которых равны по длине (a = b ≠ c), а все углы составляют 90°.
тетраэдрическая связь;DESCRIBES;расположение химических связей, при котором центральный атом симметрично соединён с четырьмя окружающими атомами, образуя тетраэдр с углами ~109.5°, характерно для sp³-гибридизации (напр., метан).
тетраэдрическая геометрия;DESCRIBES;молекулярная геометрия, при которой центральный атом окружён четырьмя атомами или группами атомов в вершинах тетраэдра с углами между связями около 109,5°.
тетраэдрические группы;DESCRIBES;набор операций симметрии, отображающих тетраэдр на себя, включая повороты и отражения, образующие точечную группу в молекулярной симметрии.
тетрафенилметан;DESCRIBES;химическое соединение, состоящее из центрального атома углерода, связанного с четырьмя фенильными группами, образующее устойчивую тетраэдрическую структуру.
теорема;DESCRIBES;утверждение, которое было доказано на основе ранее установленных утверждений, таких как другие теоремы, и общепринятых аксиом.
теоретическая тарелка;DESCRIBES;гипотетическая стадия в процессе разделения, на которой достигается равновесие между паровой и жидкой фазами, используемая для моделирования эффективности дистилляции или хроматографии.
теория;DESCRIBES;обоснованное объяснение какого-либо аспекта природного мира, основанное на совокупности фактов, неоднократно подтверждённых наблюдениями и экспериментами.
термический анализ;DESCRIBES;группа методов, изучающих свойства материалов при изменении температуры, часто используемых для анализа фазовых переходов, разложения и других термических явлений.
тепловой контакт;DESCRIBES;состояние, при котором две или более физические системы соединены так, что между ними может происходить передача тепла до достижения теплового равновесия.
