en_term;en_definition;ru_term;ru_definition
liposome;a spherical vesicle composed of one or more phospholipid bilayers, used to deliver drugs or genetic material into cells.;липосома;сферический везикул, состоящий из одной или нескольких фосфолипидных бислоев, используемый для доставки лекарств или генетического материала в клетки.
liposome encapsulation;a process where liposomes, spherical vesicles with at least one lipid bilayer, are used to encapsulate drugs or other active substances to improve delivery, stability, or bioavailability.;липосомальная инкапсуляция;процесс, при котором липосомы, сферические везикулы с липидным бислоем, используются для инкапсуляции лекарств или других активных веществ с целью улучшения доставки, стабильности или биодоступности.
liquefaction;the process of converting a gas or solid into a liquid state, typically by cooling or applying pressure. In physical chemistry, it often refers to the phase transition of gases into liquids under specific conditions of temperature and pressure.;сжижение;процесс превращения газа или твёрдого вещества в жидкое состояние, обычно путём охлаждения или приложения давления. В физической химии часто относится к фазовому переходу газов в жидкости при определённых условиях температуры и давления.
liquid junction potential;the potential difference that arises at the interface of two dissimilar electrolyte solutions due to differences in ion mobility.;диффузионный потенциал;разность потенциалов, возникающая на границе раздела двух различных электролитов из-за различий в подвижности ионов.
liquid mixture;a homogeneous or heterogeneous combination of two or more liquids that can be separated via physical means.;жидкая смесь;однородная или неоднородная комбинация двух или более жидкостей, которые могут быть разделены физическими методами.
liquid phase;a state of matter characterized by particles that are close together but can move freely, allowing the substance to flow and take the shape of its container while maintaining a nearly constant volume under fixed conditions.;жидкая фаза;состояние вещества, при котором частицы расположены близко, но могут свободно перемещаться, позволяя веществу течь и принимать форму сосуда, сохраняя почти постоянный объём.
liquid structure;the arrangement and dynamics of molecules in a liquid, characterized by short-range order and lack of long-range periodicity.;структура жидкости;расположение и динамика молекул в жидкости, характеризующаяся ближним порядком и отсутствием дальнего порядка.
liquid viscosity;a measure of a liquid's resistance to flow, determined by internal friction between its molecules.;вязкость жидкости;мера сопротивления жидкости течению, обусловленная внутренним трением между её молекулами.
liquid-liquid mixture;a homogeneous or heterogeneous combination of two or more immiscible or partially miscible liquids, often forming distinct phases due to differences in polarity, density, or solubility. Such mixtures are studied in physical chemistry for their thermodynamic and transport properties.;жидкостно-жидкостная смесь;гомогенная или гетерогенная комбинация двух или более несмешивающихся или частично смешивающихся жидкостей, часто образующих отдельные фазы из-за различий в полярности, плотности или растворимости.
liquid–vapour phase boundary;the curve in a phase diagram representing the equilibrium conditions between a liquid and its vapour phase.;граница раздела жидкость-пар;кривая на фазовой диаграмме, представляющая условия равновесия между жидкостью и её паровой фазой.
liter;a metric unit of volume equal to 1 cubic decimeter (dm³), 1,000 cubic centimeters (cm³), or 0.001 cubic meters (m³). It is commonly used to measure liquids and other substances in everyday and scientific contexts.;литр;метрическая единица объёма, равная 1 кубическому дециметру (дм³), 1000 кубическим сантиметрам (см³) или 0.001 кубического метра (м³). Широко используется для измерения жидкостей и других веществ.
lithium atom;the smallest unit of lithium, a chemical element with atomic number 3, consisting of a nucleus with 3 protons and typically 3-4 neutrons, surrounded by 3 electrons.;атом лития;наименьшая единица лития, химического элемента с атомным номером 3, состоящая из ядра с 3 протонами и обычно 3-4 нейтронами, окружённого 3 электронами.
lithium-ion battery;a rechargeable battery where lithium ions move from the negative electrode to the positive electrode during discharge and back when charging, known for high energy density, low self-discharge, and no memory effect.;литий-ионный аккумулятор;перезаряжаемый аккумулятор, в котором ионы лития перемещаются от отрицательного электрода к положительному при разрядке и обратно при зарядке, отличающийся высокой энергоёмкостью, малым саморазрядом и отсутствием эффекта памяти.
lmct;Ligand-to-Metal Charge Transfer: electronic transition where electron density moves from a ligand to a metal center, often observed in UV-Vis spectroscopy.;перенос заряда лиганд-металл;электронный переход, при котором электронная плотность перемещается от лиганда к металлическому центру, часто наблюдаемый в УФ-видимой спектроскопии.
ln(k) vs. 1/t;a graphical representation used in chemical kinetics to determine the activation energy of a reaction by plotting the natural logarithm of the rate constant (ln(k)) against the reciprocal of the absolute temperature (1/T), as described by the Arrhenius equation.;ln(k) от 1/t;графическое представление в химической кинетике для определения энергии активации реакции, где натуральный логарифм константы скорости (ln(k)) откладывается против обратной абсолютной температуры (1/T), согласно уравнению Аррениуса.
ln(k) vs. 1/t plot;a graphical representation used in chemical kinetics to determine the activation energy of a reaction by plotting the natural logarithm of the rate constant (ln(k)) against the inverse of temperature (1/T), yielding a straight line with a slope proportional to the activation energy according to the Arrhenius equation.;график ln(k) от 1/T;графическое представление в химической кинетике для определения энергии активации реакции, где натуральный логарифм константы скорости (ln(k)) откладывается против обратной температуры (1/T), давая прямую линию с наклоном, пропорциональным энергии активации согласно уравнению Аррениуса.
local contribution;the portion of a property or effect attributed to a specific region or component within a system, often used in quantum chemistry or materials science.;локальный вклад;часть свойства или эффекта, приписываемая определённой области или компоненту в системе, часто используемая в квантовой химии или материаловедении.
local magnetic field;the magnetic field experienced by a nucleus or electron in a molecule, influenced by nearby atoms and external fields.;локальное магнитное поле;магнитное поле, испытываемое ядром или электроном в молекуле, на которое влияют соседние атомы и внешние поля.
lock and key model;a model of enzyme-substrate interaction suggesting that the enzyme's active site is precisely complementary to the substrate's shape, like a key fitting into a lock, ensuring specificity in biochemical reactions.;модель ключ-замок;модель взаимодействия фермента и субстрата, предполагающая, что активный центр фермента идеально соответствует форме субстрата, как ключ к замку, обеспечивая специфичность биохимических реакций.
lock-and-key;a model describing enzyme-substrate interaction where the enzyme's active site perfectly fits the substrate, like a key in a lock, ensuring specificity.;"модель ""ключ-замок""";модель, описывающая взаимодействие фермента и субстрата, при котором активный центр фермента идеально подходит к субстрату, как ключ к замку, обеспечивая специфичность.
London;London is the capital city of the United Kingdom, a global hub for finance, culture, and politics, located in southeastern England.;Лондон;Лондон — столица Соединённого Королевства, глобальный центр финансов, культуры и политики, расположенный на юго-востоке Англии.
London formula;An approximate equation in quantum chemistry describing the dispersion interaction between two neutral molecules due to induced dipole moments.;формула Лондона;Приближённое уравнение в квантовой химии, описывающее дисперсионное взаимодействие между двумя нейтральными молекулами из-за индуцированных дипольных моментов.
long period;a time interval characterized by extended duration, often used in contexts like oscillation periods, geological timescales, or economic cycles.;длительный период;временной интервал, характеризующийся продолжительностью, часто используемый в контекстах, таких как периоды колебаний, геологические временные масштабы или экономические циклы.
longitudinal relaxation;the process by which the magnetization vector returns to its equilibrium value along the longitudinal (z) axis, characterized by the time constant T1.;продольная релаксация;процесс возвращения вектора намагниченности к равновесному значению вдоль продольной (z) оси, характеризуемый временем T1.
longitudinal relaxation time;the characteristic time for nuclear spins to return to equilibrium magnetization along the magnetic field direction after perturbation, denoted as T1.;время продольной релаксации;характерное время возвращения ядерных спинов к равновесной намагниченности вдоль направления магнитного поля после возмущения, обозначаемое как T1.
long-range order;a regular, repeating arrangement of atoms or molecules in a material over large distances, characteristic of crystalline solids.;дальний порядок;регулярное, повторяющееся расположение атомов или молекул в материале на больших расстояниях, характерное для кристаллических твёрдых тел.
lorentzian absorption line;a spectral line shape described by the Lorentz distribution, characteristic of homogeneous broadening in atomic or molecular absorption spectra.;лоренцевская линия поглощения;форма спектральной линии, описываемая распределением Лоренца, характерная для однородного уширения в атомных или молекулярных спектрах поглощения.
loss modulus;a measure of the energy dissipated as heat per cycle of deformation in a viscoelastic material under dynamic loading, representing the viscous component of the material's response.;модуль потерь;мера энергии, рассеиваемой в виде тепла за цикл деформации в вязкоупругом материале при динамическом нагружении, представляющая вязкую составляющую отклика материала.
loss of;a decrease or reduction in a particular quantity, quality, or attribute, often used in scientific contexts to describe energy dissipation or material degradation.;потеря;уменьшение или снижение определённого количества, качества или атрибута, часто используемое в научных контекстах для описания рассеивания энергии или деградации материала.
low temperatures;temperatures significantly below the standard ambient conditions, often near or below the boiling point of liquid nitrogen (77 K), where quantum effects and unique material properties become prominent.;низкие температуры;температуры значительно ниже стандартных условий, часто близкие или ниже точки кипения жидкого азота (77 К), где проявляются квантовые эффекты и уникальные свойства материалов.
low-boiling azeotrope;a mixture of two or more liquids that boils at a constant temperature lower than that of any of its components, forming a vapor with the same composition as the liquid.;низкокипящий азеотроп;смесь двух или более жидкостей, кипящая при постоянной температуре ниже температуры кипения любого из компонентов, образуя пар того же состава, что и жидкость.
lower consolute temperature;the minimum temperature at which two partially miscible liquids become fully miscible, forming a single phase.;нижняя критическая температура смешиваемости;минимальная температура, при которой две частично смешивающиеся жидкости становятся полностью смешиваемыми, образуя одну фазу.
lower critical solution temperature;the minimum temperature below which a mixture of two liquids, which are partially miscible at higher temperatures, becomes completely miscible in all proportions.;нижняя критическая температура растворимости;минимальная температура, ниже которой смесь двух жидкостей, частично смешивающихся при более высоких температурах, становится полностью смешиваемой в любых пропорциях.
lower entropy;a state of a system characterized by reduced disorder or higher organization, where the number of possible microscopic configurations is minimized, often associated with increased energy efficiency and stability in thermodynamic processes.;низкая энтропия;состояние системы с уменьшенным беспорядком или повышенной упорядоченностью, где число возможных микроскопических конфигураций минимально, часто связанное с повышенной энергоэффективностью и стабильностью в термодинамических процессах.
lowering operator (l-);an operator in quantum mechanics that decreases the eigenvalue of another operator, often used in the context of angular momentum or harmonic oscillators to transition between quantum states.;понижающий оператор (l-);оператор в квантовой механике, уменьшающий собственное значение другого оператора, часто используемый для перехода между квантовыми состояниями в контексте углового момента или гармонических осцилляторов.
LUMO;"Lowest Unoccupied Molecular Orbital; the lowest energy molecular orbital not occupied by electrons, crucial in chemical reactions and spectroscopy.";НСМО;"Низшая Свободная Молекулярная Орбиталь; молекулярная орбиталь с наименьшей энергией, не занятая электронами, важная в химических реакциях и спектроскопии."
lustre of metal;the characteristic shine or reflective appearance of a metal surface due to its ability to reflect light efficiently.;металлический блеск;характерный блеск или отражающая способность поверхности металла, обусловленная эффективным отражением света.
ly;a unit of length equal to the distance that light travels in one year in a vacuum, approximately 9.46 trillion kilometers (5.88 trillion miles). It is commonly used in astronomy to measure vast distances between celestial objects.;световой год;единица длины, равная расстоянию, которое свет проходит за один год в вакууме, примерно 9,46 триллиона километров. Используется в астрономии для измерения больших расстояний между небесными объектами.
Lyman series;A series of spectral lines in the ultraviolet region emitted by hydrogen atoms when electrons transition to the n=1 energy level.;серия Лаймана;Серия спектральных линий в ультрафиолетовой области, излучаемых атомами водорода при переходе электронов на уровень энергии n=1.
lyophilic;describes a substance that readily forms a stable colloid or solution when dispersed in a liquid, due to strong affinity between the dispersed phase and the dispersion medium.;лиофильный;описывает вещество, которое легко образует стабильный коллоид или раствор при диспергировании в жидкости, благодаря сильному сродству между дисперсной фазой и дисперсионной средой.
lyophobic;describes a substance that repels or fails to dissolve in a particular solvent, often used in colloid chemistry to describe particles or surfaces.;лиофобный;описывает вещество, которое отталкивает или не растворяется в определённом растворителе, часто используется в коллоидной химии для описания частиц или поверхностей.
macromolecule;a very large molecule, such as a polymer or protein, composed of many smaller subunits (monomers) linked together, often with high molecular weight and complex structure.;макромолекула;очень большая молекула, такая как полимер или белок, состоящая из множества более мелких субъединиц (мономеров), соединённых вместе, часто с высокой молекулярной массой и сложной структурой.
macropores;large pores in a material, typically with diameters greater than 50 nanometers, which facilitate the transport of fluids and gases but generally do not contribute significantly to surface area or adsorption capacity.;макропоры;крупные поры в материале, обычно диаметром более 50 нанометров, которые облегчают транспорт жидкостей и газов, но обычно не вносят значительного вклада в площадь поверхности или адсорбционную способность.
macrostate;a macroscopic state of a thermodynamic system characterized by measurable properties like temperature, pressure, and volume, which result from the collective behavior of its microscopic constituents.;макросостояние;макроскопическое состояние термодинамической системы, характеризующееся измеримыми свойствами, такими как температура, давление и объём, которые возникают из коллективного поведения её микроскопических составляющих.
Madelung;a constant used in calculating the electrostatic potential energy of an ion in a crystal lattice, named after German physicist Erwin Madelung.;Маделунга;константа, используемая для расчёта электростатической потенциальной энергии иона в кристаллической решётке, названная в честь немецкого физика Эрвина Маделунга.
Madelung constant;a dimensionless constant that represents the electrostatic potential energy of a single ion in a crystal lattice, accounting for the arrangement of all other ions in the lattice.;постоянная Маделунга;безразмерная константа, представляющая электростатическую потенциальную энергию одного иона в кристаллической решётке с учётом расположения всех остальных ионов.
magic angle spinning;a technique in solid-state NMR spectroscopy where the sample is rotated at the magic angle (54.74°) relative to the magnetic field to average anisotropic interactions and improve resolution.;вращение под магическим углом;метод в твердотельной ЯМР-спектроскопии, при котором образец вращается под магическим углом (54,74°) относительно магнитного поля для усреднения анизотропных взаимодействий и улучшения разрешения.
magnetic;relating to or exhibiting magnetism, the property of certain materials to attract or repel others due to the motion of electric charges.;магнитный;относящийся к магнетизму или проявляющий его, свойство некоторых материалов притягивать или отталкивать другие из-за движения электрических зарядов.
magnetic field strength;a vector quantity that represents the intensity of a magnetic field, measured in amperes per meter (A/m). It describes the magnetic influence of electric currents and magnetized materials.;напряжённость магнитного поля;векторная величина, характеризующая интенсивность магнитного поля, измеряемая в амперах на метр (А/м). Описывает магнитное влияние электрических токов и намагниченных материалов.
magnetic induction;the process by which a changing magnetic field generates an electric current in a conductor, described by Faraday's law of induction.;магнитная индукция;процесс, при котором изменяющееся магнитное поле создаёт электрический ток в проводнике, описываемый законом электромагнитной индукции Фарадея.
magnetic materials;substances that exhibit magnetic properties, such as ferromagnetism, paramagnetism, or diamagnetism, due to the alignment of their atomic or molecular magnetic moments. These materials are widely used in electronics, data storage, and various industrial applications.;магнитные материалы;вещества, проявляющие магнитные свойства (ферромагнетизм, парамагнетизм или диамагнетизм) из-за упорядочивания магнитных моментов атомов или молекул. Применяются в электронике, хранении данных и промышленности.
magnetic moment;a vector quantity representing the magnetic strength and orientation of a magnet or other object that produces a magnetic field.;магнитный момент;векторная величина, характеризующая магнитную силу и ориентацию магнита или другого объекта, создающего магнитное поле.
magnetic properties;characteristics of materials that describe their response to an applied magnetic field, including magnetization, susceptibility, and hysteresis. These properties are crucial in applications like data storage, medical imaging, and electrical engineering.;магнитные свойства;характеристики материалов, описывающие их реакцию на приложенное магнитное поле, включая намагниченность, восприимчивость и гистерезис. Важны для применения в хранении данных, медицинской визуализации и электротехнике.
magnetic quantum number;a quantum number that specifies the orientation of an atomic orbital in space, with values ranging from -l to +l, where l is the azimuthal quantum number.;магнитное квантовое число;квантовое число, определяющее ориентацию атомной орбитали в пространстве, принимающее значения от -l до +l, где l — азимутальное квантовое число.
magnetic quantum number (m);a quantum number that specifies the orientation of an atomic orbital in space relative to an external magnetic field, with integer values ranging from -l to +l, where l is the azimuthal quantum number.;магнитное квантовое число (m);квантовое число, определяющее ориентацию атомной орбитали в пространстве относительно внешнего магнитного поля, принимающее целые значения от -l до +l, где l — азимутальное квантовое число.
magnetic resonance imaging;a medical imaging technique that uses strong magnetic fields and radio waves to generate detailed images of the body's internal structures, particularly soft tissues.;магнитно-резонансная томография;метод медицинской визуализации, использующий сильные магнитные поля и радиоволны для получения детальных изображений внутренних структур тела, особенно мягких тканей.
magnetic susceptibility;a measure of the degree to which a material becomes magnetized in an applied magnetic field, indicating its response to magnetic forces.;магнитная восприимчивость;мера степени намагничивания материала в приложенном магнитном поле, показывающая его реакцию на магнитные силы.
magnetically equivalent nuclei;nuclei in a molecule that have identical chemical shifts and identical spin-spin interactions with all other nuclei, making them indistinguishable in NMR spectroscopy.;магнитно-эквивалентные ядра;ядра в молекуле, имеющие одинаковые химические сдвиги и одинаковые спин-спиновые взаимодействия со всеми другими ядрами, что делает их неразличимыми в ЯМР-спектроскопии.
magnetically ordered lattices;crystalline structures where magnetic moments of atoms or ions are aligned in a regular pattern, exhibiting long-range magnetic order such as ferromagnetism or antiferromagnetism.;магнитоупорядоченные решётки;кристаллические структуры, в которых магнитные моменты атомов или ионов выстроены в регулярном порядке, демонстрируя дальний магнитный порядок, например ферромагнетизм или антиферромагнетизм.
magnetism;a physical phenomenon produced by the motion of electric charge, resulting in attractive and repulsive forces between objects.;магнетизм;физическое явление, возникающее вследствие движения электрического заряда, приводящее к силам притяжения и отталкивания между объектами.
magnetization;the measure of the density of magnetic dipole moments in a material, indicating its magnetic state and response to an external magnetic field.;намагниченность;мера плотности магнитных дипольных моментов в материале, характеризующая его магнитное состояние и реакцию на внешнее магнитное поле.
magnetization vector;a vector quantity representing the magnetic moment per unit volume of a material, indicating the material's overall magnetic polarization.;вектор намагниченности;векторная величина, представляющая магнитный момент на единицу объёма материала, характеризующая его общую магнитную поляризацию.
magnetogyric;a ratio of the magnetic moment to the angular momentum of a particle or system, often used in nuclear magnetic resonance (NMR) spectroscopy.;магнитогирический;отношение магнитного момента к моменту импульса частицы или системы, часто используемое в спектроскопии ядерного магнитного резонанса (ЯМР).
magnetogyric ratio;the ratio of the magnetic moment to the angular momentum of a particle, determining its precession frequency in a magnetic field.;магнитомеханическое отношение;отношение магнитного момента к моменту импульса частицы, определяющее частоту её прецессии в магнитном поле.
magneton;a unit of magnetic moment used in atomic and nuclear physics, typically referring to the Bohr magneton or nuclear magneton.;магнетон;единица магнитного момента, используемая в атомной и ядерной физике, обычно относящаяся к магнетону Бора или ядерному магнетону.
manometer;An instrument used to measure the pressure of a fluid or gas, typically consisting of a U-shaped tube partially filled with liquid.;манометр;Прибор для измерения давления жидкости или газа, обычно представляющий собой U-образную трубку, частично заполненную жидкостью.
many-electron atom;an atom containing more than one electron, requiring quantum mechanical treatment to describe electron-electron interactions and energy levels accurately.;многоэлектронный атом;атом, содержащий более одного электрона, требующий квантово-механического подхода для точного описания электрон-электронных взаимодействий и энергетических уровней.
many-worlds interpretation;a quantum mechanics theory proposing that all possible outcomes of quantum measurements physically occur in separate, branching universes, eliminating wavefunction collapse and observer-induced effects.;многомировая интерпретация;теория квантовой механики, предполагающая, что все возможные исходы квантовых измерений физически реализуются в отдельных, ветвящихся вселенных, исключая коллапс волновой функции и влияние наблюдателя.
marcus;a theory describing electron transfer rates in chemical reactions, relating reorganization energy and driving force to reaction kinetics.;маркус;теория, описывающая скорости переноса электронов в химических реакциях, связывающая энергию реорганизации и движущую силу с кинетикой реакции.
marcus cross-relation;a theoretical relation in electron transfer kinetics that connects the rates of self-exchange and cross-reaction electron transfers, derived from Marcus theory.;кросс-соотношение Маркуса;теоретическое соотношение в кинетике переноса электронов, связывающее скорости самосогласованного и кросс-реакционного переноса электронов, выведенное из теории Маркуса.
Marcus inverted region;In electron transfer theory, a region where the reaction rate decreases as the driving force increases beyond a certain point, contrary to the classical Arrhenius behavior.;инвертированная область Маркуса;В теории переноса электронов — область, в которой скорость реакции уменьшается при увеличении движущей силы сверх определённого предела, что противоречит классическому поведению по Аррениусу.
marcus theory;a theory describing electron transfer rates in chemical reactions, emphasizing the role of solvent reorganization energy and reaction free energy.;теория Маркуса;теория, описывающая скорости переноса электронов в химических реакциях, подчеркивающая роль энергии реорганизации растворителя и свободной энергии реакции.
Margules;a thermodynamic model describing the activity coefficients of components in a liquid mixture, often used in phase equilibrium calculations.;Маргулес;термодинамическая модель, описывающая коэффициенты активности компонентов в жидкой смеси, часто используемая в расчётах фазового равновесия.
Margules equations;empirical equations describing the activity coefficients of components in a non-ideal liquid mixture, used in thermodynamics to model deviations from Raoult's law.;уравнения Маргулеса;эмпирические уравнения, описывающие коэффициенты активности компонентов в неидеальной жидкой смеси, используемые в термодинамике для моделирования отклонений от закона Рауля.
mass;a measure of the amount of matter in an object, typically measured in kilograms or grams, and a fundamental property in physics and chemistry.;масса;мера количества вещества в объекте, обычно измеряемая в килограммах или граммах, и фундаментальное свойство в физике и химии.
material balance;Mass conservation principle applied to analyze input, output, and accumulation of materials in a system.;материальный баланс;Принцип сохранения массы, применяемый для анализа ввода, вывода и накопления материалов в системе.
material balance equation;an equation that accounts for the mass of all components entering, leaving, accumulating, or reacting in a system, ensuring conservation of mass.;уравнение материального баланса;уравнение, учитывающее массу всех компонентов, поступающих, покидающих, накапливающихся или реагирующих в системе, обеспечивая сохранение массы.
material characterization;the process of determining the physical, chemical, and structural properties of a material using various analytical techniques to understand its behavior and performance in different conditions.;характеризация материалов;процесс определения физических, химических и структурных свойств материала с использованием различных аналитических методов для понимания его поведения и производительности в различных условиях.
matrix;a rectangular array of numbers, symbols, or expressions arranged in rows and columns, used in mathematics and physical chemistry to represent systems of equations or transformations.;матрица;прямоугольный массив чисел, символов или выражений, расположенных в строках и столбцах, используемый в математике и физической химии для представления систем уравнений или преобразований.
matrix diagonalization;the process of finding a diagonal matrix that is similar to a given square matrix, typically by solving its eigenvalue problem.;диагонализация матрицы;процесс нахождения диагональной матрицы, подобной заданной квадратной матрице, обычно путём решения её задачи на собственные значения.
matrix form;a mathematical representation of data or equations arranged in rows and columns, often used in linear algebra and computational chemistry.;матричная форма;математическое представление данных или уравнений, упорядоченных в строки и столбцы, часто используемое в линейной алгебре и вычислительной химии.
matrix formulation;a mathematical representation of a system or process using matrices, often employed in quantum mechanics and statistical mechanics to simplify complex calculations.;матричная формулировка;математическое представление системы или процесса с использованием матриц, часто применяемое в квантовой и статистической механике для упрощения сложных вычислений.
matrix representation;a way to represent linear transformations or systems of equations using matrices, where each element corresponds to coefficients or transformation components.;матричное представление;способ представления линейных преобразований или систем уравнений с помощью матриц, где каждый элемент соответствует коэффициентам или компонентам преобразования.
matrix representative;a matrix that represents a linear transformation or operator in a given basis, often used in quantum mechanics and group theory.;матричный представитель;матрица, представляющая линейное преобразование или оператор в заданном базисе, часто используемая в квантовой механике и теории групп.
matter waves;quantum mechanical waves associated with particles, proposed by de Broglie, indicating that particles like electrons exhibit wave-like properties, with wavelength inversely proportional to momentum (λ = h/p). Fundamental to wave-particle duality in quantum mechanics.;волны материи;квантовомеханические волны, связанные с частицами, предложенные де Бройлем, показывающие, что частицы (например, электроны) обладают волновыми свойствами, с длиной волны, обратно пропорциональной импульсу (λ = h/p). Основа дуализма волна-частица в квантовой механике.
Max Born;a German physicist and mathematician who made significant contributions to quantum mechanics, particularly in the statistical interpretation of the wave function, for which he was awarded the Nobel Prize in Physics in 1954.;Макс Борн;немецкий физик и математик, внесший значительный вклад в квантовую механику, особенно в статистическую интерпретацию волновой функции, за что получил Нобелевскую премию по физике в 1954 году.
